ID,Name,StateID,PostCode,GPSCoordinates,UpperLeft,LowerRight,LastUpdated,Deleted
6459,HOLMES,8,0812,"130.8466990,-12.4287270,0","130.8433569,-12.4256359","130.8496521,-12.4319311",10/11/2011 13:05:05,0
6460,HOLMESGLEN,5,3148,"145.0914100,-37.8741900,0","145.0754026,-37.8653818","145.1074174,-37.8829972",15/4/2011 16:33:21,0
6461,HOLMESVILLE,1,2286,"151.5768470,-32.9136610,0","151.5608396,-32.9042935","151.5928544,-32.9230275",15/4/2011 16:33:21,0
6462,HOLMVIEW,2,4207,"153.1688520,-27.7117570,0","153.1528446,-27.7018784","153.1848594,-27.7216347",15/4/2011 16:33:21,0
6463,HOLMWOOD,6,6522,"115.6097200,-29.0561100,0","115.3536012,-28.8999329","115.8658388,-29.2120509",15/4/2011 16:33:21,0
6464,HOLROYD,1,2142,"150.9933340,-33.8298360,0","150.9773266,-33.8205666","151.0093414,-33.8391044",15/4/2011 16:33:21,0
6465,HOLROYD RIVER,2,4871,"142.9359620,-14.2243780,0","140.8870118,-12.8358305","144.9849122,-15.6044477",15/4/2011 16:33:21,0
6466,HOLSWORTHY,1,2173,"150.9499720,-33.9504030,0","150.6938532,-33.8021816","151.2060908,-34.0983667",15/4/2011 16:33:21,0
6467,HOLT,7,2615,"149.0167870,-35.2254480,0","149.0007796,-35.2163327","149.0327944,-35.2345623",15/4/2011 16:33:21,0
6468,HOLT ROCK,6,6355,"119.3934950,-32.6650110,0","118.8812574,-32.3639224","119.9057326,-32.9650886",15/4/2011 16:33:21,0
6469,HOLTS FLAT,1,2631,"149.2882480,-36.6400480,0","149.2242183,-36.6042270","149.3522777,-36.6758524",15/4/2011 16:33:21,0
6470,HOLTZE,8,0829,"130.8398390,-12.4286470,0","130.8367319,-12.4255239","130.8430271,-12.4318191",10/11/2011 13:06:33,0
6471,HOLWELL,4,7275,"146.7833050,-41.2785100,0","146.7192753,-41.2449599","146.8473347,-41.3120428",15/4/2011 16:33:21,0
6472,HOLYOAKE,6,6213,"116.1127800,-32.6986100,0","116.0487503,-32.6610432","116.1768097,-32.7361610",15/4/2011 16:33:21,0
6473,HOME HILL,2,4806,"147.4152410,-19.6661250,0","147.3832262,-19.6451093","147.4472558,-19.6871379",15/4/2011 16:33:21,0
6474,HOME ISLAND COCOS (KEELING) ISLANDS,6,6799,"96.9007908,-12.0905338,0","96.8687760,-12.0687119","96.9328056,-12.1123539",15/4/2011 16:33:21,0
6475,HOME RULE,1,2850,"149.6274930,-32.4166200,0","149.5954782,-32.3977795","149.6595078,-32.4354566",15/4/2011 16:33:21,0
6476,HOMEBUSH,1,2140,"151.0818470,-33.8596540,0","151.0658396,-33.8503878","151.0978544,-33.8689191",15/4/2011 16:33:21,0
6477,HOMEBUSH,5,3465,"143.5342990,-37.0573950,0","143.5022842,-37.0395840","143.5663138,-37.0752018",15/4/2011 16:33:21,0
6478,HOMEBUSH,2,4740,"149.0532100,-21.2691450,0","148.9891803,-21.2275472","149.1172397,-21.3107311",15/4/2011 16:33:21,0
6479,HOMEBUSH BAY,1,2127,"151.0761860,-33.8528300,0","151.0441712,-33.8342952","151.1082008,-33.8713608",15/4/2011 16:33:21,0
6480,HOMEBUSH SOUTH,1,2140,"151.0844700,-33.8677670,0","151.0684626,-33.8585017","151.1004774,-33.8770313",15/4/2011 16:33:21,0
6481,HOMEBUSH WEST,1,2140,"151.0693690,-33.8667880,0","151.0533616,-33.8575226","151.0853764,-33.8760524",15/4/2011 16:33:21,0
6482,HOMELEIGH,1,2474,"153.0708830,-28.5531930,0","153.0068533,-28.5139822","153.1349127,-28.5923892",15/4/2011 16:33:21,0
6483,HOMERTON,5,3304,"141.7591840,-38.1372830,0","141.6951543,-38.1021700","141.8232137,-38.1723791",15/4/2011 16:33:21,0
6484,HOMESTEAD,2,4816,"145.6556740,-20.3607240,0","145.6396666,-20.3502628","145.6716814,-20.3711845",15/4/2011 16:33:21,0
6485,HOMEWOOD,5,3717,"145.3565200,-37.2026130,0","145.2924903,-37.1670552","145.4205497,-37.2381541",15/4/2011 16:33:21,0
6486,HONEYBUGLE,1,2825,"146.9096880,-31.8297450,0","146.3974504,-31.5258861","147.4219256,-32.1326069",15/4/2011 16:33:21,0
6487,HONEYWOOD,4,7017,"147.2886070,-42.7295840,0","147.2565922,-42.7131893","147.3206218,-42.7459744",15/4/2011 16:33:21,0
6488,HONITON,3,5576,"137.6484990,-35.1018080,0","137.5844693,-35.0652850","137.7125287,-35.1383146",15/4/2011 16:33:21,0
6489,HOOK ISLAND,2,4741,"148.9263611,-20.1135349,0","148.8623314,-20.0716193","148.9903908,-20.1554393",15/4/2011 16:33:21,0
6490,HOOKSWOOD,2,4415,"150.2704370,-26.5162740,0","150.0143182,-26.3564150","150.5265558,-26.6759108",15/4/2011 16:33:21,0
6491,HOPE FOREST,3,5172,"138.6200990,-35.2785620,0","138.5880842,-35.2603422","138.6521138,-35.2967777",15/4/2011 16:33:21,0
6492,HOPE GAP,3,5555,"138.2224280,-33.6682050,0","138.1583983,-33.6310515","138.2864577,-33.7053425",15/4/2011 16:33:21,0
6493,HOPE ISLAND,2,4212,"153.3593560,-27.8752490,0","153.3273412,-27.8555206","153.3913708,-27.8949738",15/4/2011 16:33:21,0
6494,HOPE VALE,2,4895,"145.1817407,-15.1775783,0","144.6695031,-14.8326979","145.6939783,-15.5218965",15/4/2011 16:33:21,0
6495,HOPE VALLEY,3,5090,"138.7016080,-34.8432060,0","138.6856006,-34.8340479","138.7176154,-34.8523631",15/4/2011 16:33:21,0
6496,HOPE VALLEY,6,6165,"115.8014920,-32.1900270,0","115.7694772,-32.1711393","115.8335068,-32.2089107",15/4/2011 16:33:21,0
6497,HOPEFIELD,1,2646,"146.4365040,-35.8966100,0","146.3084446,-35.8242664","146.5645634,-35.9688876",15/4/2011 16:33:21,0
6498,HOPELAND,2,4413,"150.6419830,-26.8854230,0","150.5139236,-26.8057794","150.7700424,-26.9650105",15/4/2011 16:33:21,0
6499,HOPELAND,6,6125,"115.9012770,-32.3644270,0","115.8372473,-32.3267203","115.9653067,-32.4021180",15/4/2011 16:33:21,0
6500,HOPETOUN,5,3396,"142.3647340,-35.7272350,0","142.1086152,-35.5821732","142.6208528,-35.8720331",15/4/2011 16:33:21,0
6501,HOPETOUN,6,6348,"120.1675267,-33.8550077,0","120.0376335,-33.7388735","120.2974199,-33.9711419",15/4/2011 16:33:21,0
6502,HOPETOUN GARDENS,5,3162,"145.0105867,-37.8866395,0","144.9945793,-37.8778328","145.0265941,-37.8954452",15/4/2011 16:33:21,0
6503,HOPETOUN PARK,5,3340,"144.4967100,-37.6963010,0","144.4807026,-37.6874716","144.5127174,-37.7051294",15/4/2011 16:33:21,0
6504,HOPKINS CREEK,1,2484,"153.2489310,-28.2927540,0","153.2169162,-28.2731021","153.2809458,-28.3124022",15/4/2011 16:33:21,0
6505,HOPPERS CROSSING,5,3029,"144.7002970,-37.8826360,0","144.6682822,-37.8650206","144.7323118,-37.9002472",15/4/2011 16:33:21,0
6506,HORDERN VALE,5,3238,"143.5090480,-38.7729270,0","143.4450183,-38.7381219","143.5730777,-38.8077151",15/4/2011 16:33:21,0
6507,HORFIELD,5,3567,"144.2422730,-35.8862230,0","144.1782433,-35.8500547","144.3063027,-35.9223748",15/4/2011 16:33:21,0
6508,HORN ISLAND,2,4875,"142.2852870,-10.5937520,0","142.1572276,-10.5059970","142.4133464,-10.6814819",15/4/2011 16:33:21,0
6509,HORNET BANK,2,4420,"149.4078870,-25.7564870,0","148.8956494,-25.4344710","149.9201246,-26.0776321",15/4/2011 16:33:21,0
6510,HORNINGSEA PARK,1,2171,"150.8429750,-33.9450880,0","150.8269676,-33.9358311","150.8589824,-33.9543439",15/4/2011 16:33:21,0
6511,HORNSBY,1,2077,"151.0986960,-33.7047480,0","151.0666812,-33.6861811","151.1307108,-33.7233108",15/4/2011 16:33:21,0
6512,HORNSBY HEIGHTS,1,2077,"151.0955030,-33.6700860,0","151.0634882,-33.6515117","151.1275178,-33.6886563",15/4/2011 16:33:21,0
6513,HORNSDALE,3,5491,"138.4948240,-33.0731930,0","138.3667646,-32.9983604","138.6228834,-33.1479620",15/4/2011 16:33:21,0
6514,HORROCKS,6,6535,"114.4314320,-28.3790760,0","114.4154246,-28.3692585","114.4474394,-28.3888926",15/4/2011 16:33:21,0
6515,HORSE CAMP,2,4671,"151.8923870,-25.0660070,0","151.8283573,-25.0255718","151.9564167,-25.1064289",15/4/2011 16:33:21,0
6516,HORSE CREEK,2,4714,"150.3826170,-23.6630590,0","150.3666096,-23.6528388","150.3986244,-23.6732784",15/4/2011 16:33:21,0
6517,HORSE PENINSULA,3,5607,"135.4308250,-34.5173830,0","135.3667953,-34.4806002","135.4948547,-34.5541496",15/4/2011 16:33:21,0
6518,HORSE STATION CREEK,1,2474,"152.9648420,-28.6260300,0","152.9008123,-28.5868463","153.0288717,-28.6651991",15/4/2011 16:33:21,0
6519,HORSESHOE BAY,2,4819,"146.8607500,-19.1188280,0","146.8287352,-19.0977416","146.8927648,-19.1399117",15/4/2011 16:33:21,0
6520,HORSESHOE BEND,1,2320,"151.5726080,-32.7347080,0","151.5566006,-32.7253216","151.5886154,-32.7440934",15/4/2011 16:33:21,0
6521,HORSESHOE CREEK,1,2474,"153.0284210,-28.5304150,0","152.9964062,-28.5108072","153.0604358,-28.5500192",15/4/2011 16:33:21,0
6522,HORSESHOE LAGOON,2,4809,"147.1348550,-19.5586890,0","147.0708253,-19.5166269","147.1988847,-19.6007402",15/4/2011 16:33:21,0
6523,HORSFIELD BAY,1,2256,"151.2999080,-33.4934700,0","151.2839006,-33.4841643","151.3159154,-33.5027747",15/4/2011 16:33:21,0
6524,HORSHAM,5,3400,"142.2048990,-36.7117140,0","142.1728842,-36.6938222","142.2369138,-36.7296016",15/4/2011 16:33:21,0
6525,HORSHAM WEST,5,3400,"142.1778800,-36.7223040,0","142.1618726,-36.7133599","142.1938874,-36.7312471",15/4/2011 16:33:21,0
6526,HORSLEY,1,2530,"150.7667620,-34.4896050,0","150.7507546,-34.4804078","150.7827694,-34.4988012",15/4/2011 16:33:21,0
6527,HORSLEY PARK,1,2175,"150.8514900,-33.8430171,0","150.8187816,-33.8174889","150.8841983,-33.8685453",15/4/2011 16:33:21,0
6528,HORSNELL GULLY,3,5141,"138.7061200,-34.9425720,0","138.6741052,-34.9242770","138.7381348,-34.9608630",15/4/2011 16:33:21,0
6529,HORTON,2,4660,"152.3178060,-25.2257970,0","152.2857912,-25.2056075","152.3498208,-25.2459831",15/4/2011 16:33:21,0
6530,HOSKIN CORNER,3,5461,"138.4682010,-34.2015600,0","138.4361862,-34.1831012","138.5002158,-34.2200147",15/4/2011 16:33:21,0
6531,HOSKINSTOWN,1,2621,"149.4498170,-35.4137030,0","149.3857873,-35.3773202","149.5138467,-35.4500694",15/4/2011 16:33:21,0
6532,HOTHAM HEIGHTS,5,3741,"147.1467990,-36.9854320,0","146.8906802,-36.8426924","147.4029178,-37.1279043",15/4/2011 16:33:21,0
6533,HOTHAM HILL,5,3051,"144.9460423,-37.7972157,0","144.9336544,-37.7857665","144.9584302,-37.8086649",15/4/2011 16:33:21,0
6534,HOTSPUR,5,3303,"141.5612790,-37.9263060,0","141.4332196,-37.8558607","141.6893384,-37.9966838",15/4/2011 16:33:21,0
6535,HOUGHTON,3,5131,"138.7595070,-34.8252770,0","138.7434996,-34.8161169","138.7755144,-34.8344361",15/4/2011 16:33:21,0
6536,HOUSTON,5,3128,"145.1301130,-37.8447060,0","145.1271189,-37.8416164","145.1334141,-37.8479116",15/4/2011 16:33:21,0
6537,HOUTMAN ABROLHOS,6,6530,"113.6978290,-28.4614921,0","112.6733539,-27.8318344","114.7223041,-29.0874210",15/4/2011 16:33:21,0
6538,HOVE,3,5048,"138.5223440,-35.0087330,0","138.5063366,-34.9995934","138.5383514,-35.0178716",15/4/2011 16:33:21,0
6539,HOVEA,6,6071,"116.1121780,-31.8878150,0","116.0801632,-31.8688649","116.1441928,-31.9067612",15/4/2011 16:33:21,0
6540,HOVELLS CREEK,1,2794,"148.8826890,-34.0552040,0","148.6265702,-33.9071650","149.1388078,-34.2029849",15/4/2011 16:33:21,0
6541,HOWARD,2,4659,"152.5624120,-25.3174810,0","152.4983823,-25.2771291","152.6264417,-25.3578194",15/4/2011 16:33:21,0
6542,HOWARD SPRINGS,8,0835,"131.4843800,-12.5545600,0","131.2282612,-12.3802421","131.7404988,-12.7287599",10/11/2011 13:06:45,0
6543,HOWARDS GRASS,1,2480,"153.3030180,-28.7914920,0","153.2870106,-28.7817129","153.3190254,-28.8012702",15/4/2011 16:33:21,0
6544,HOWATHARRA,6,6532,"114.6309790,-28.5335750,0","114.5669493,-28.4943569","114.6950087,-28.5727785",15/4/2011 16:33:21,0
6545,HOWDEN,4,7054,"147.2929070,-43.0266530,0","147.2608922,-43.0103370","147.3249218,-43.0429646",15/4/2011 16:33:21,0
6546,HOWELL,1,2360,"151.0606210,-29.9407050,0","150.9325616,-29.8633240","151.1886804,-30.0180259",15/4/2011 16:33:21,0
6547,HOWES CREEK,5,3723,"146.0237590,-37.1403120,0","145.9597293,-37.1047249","146.0877887,-37.1758824",15/4/2011 16:33:21,0
6548,HOWES VALLEY,1,2330,"150.8357560,-32.8442840,0","150.5796372,-32.6941676","151.0918748,-32.9941469",15/4/2011 16:33:21,0
6549,HOWICK,1,2330,"150.9660220,-32.4163190,0","150.8379626,-32.3409332","151.0940814,-32.4916419",15/4/2011 16:33:21,0
6550,HOWICK,6,6450,"123.0879560,-33.7440320,0","122.0634809,-33.1481792","124.1124311,-34.3357739",15/4/2011 16:33:21,0
6551,HOWITT,2,4890,"141.6258410,-17.2815090,0","139.5768908,-15.9128292","143.6747912,-18.6400926",15/4/2011 16:33:21,0
6552,HOWITT PLAINS,5,3858,"146.6967956,-37.7867523,0","146.3824230,-37.4197819","147.0111681,-38.1537226",15/4/2011 16:33:21,0
6553,HOWLONG,1,2643,"146.6065475,-35.9491485,0","146.5168094,-35.8901565","146.6962857,-36.0081406",15/4/2011 16:33:21,0
6554,HOWQUA,5,3723,"146.1923698,-37.2490994,0","146.1283401,-37.2135635","146.2563995,-37.2846186",15/4/2011 16:33:21,0
6555,HOWQUA HILLS,5,3723,"146.3185080,-37.1829060,0","146.0623892,-37.0405372","146.5746268,-37.3250070",15/4/2011 16:33:21,0
6556,HOWQUA INLET,5,3723,"146.1319870,-37.2252700,0","146.0999722,-37.2074985","146.1640018,-37.2430373",15/4/2011 16:33:21,0
6557,HOWRAH,4,7018,"147.4056810,-42.8886890,0","147.3736662,-42.8723364","147.4376958,-42.9050372",15/4/2011 16:33:21,0
6558,HOWTH,4,7316,"146.0051530,-41.0891760,0","145.9891456,-41.0807658","146.0211604,-41.0975851",15/4/2011 16:33:21,0
6559,HOXTON PARK,1,2171,"150.8578880,-33.9267800,0","150.8418806,-33.9175211","150.8738954,-33.9360379",15/4/2011 16:33:21,0
6560,HOYA,2,4310,"152.6880790,-27.9766950,0","152.6560642,-27.9569851","152.7200938,-27.9964013",15/4/2011 16:33:21,0
6561,HOYLETON,3,5453,"138.5623280,-34.0237210,0","138.4342686,-33.9497063","138.6903874,-34.0976712",15/4/2011 16:33:21,0
6562,HUDDLESTON,3,5523,"138.2827080,-33.3267140,0","138.2186783,-33.2894137","138.3467377,-33.3639983",15/4/2011 16:33:21,0
6563,HUDSON,2,4860,"146.0018780,-17.5268650,0","145.9858706,-17.5162247","146.0178854,-17.5375047",15/4/2011 16:33:21,0
6564,HUGH,8,0872,"133.7621590,-24.3987900,0","133.5012810,-24.3941090","134.0225060,-24.4226410",10/11/2011 13:02:48,0
6565,HUGHENDEN,2,4821,"144.2010730,-20.8429820,0","143.9449542,-20.6760449","144.4571918,-21.0097341",15/4/2011 16:33:21,0
6566,HUGHES,7,2605,"149.0942590,-35.3335730,0","149.0782516,-35.3244698","149.1102664,-35.3426752",15/4/2011 16:33:21,0
6567,HUGHESDALE,5,3166,"145.0765450,-37.8957630,0","145.0605376,-37.8869574","145.0925524,-37.9045676",15/4/2011 16:33:21,0
6568,HULL HEADS,2,4854,"146.0654380,-17.9933750,0","146.0334232,-17.9721492","146.0974528,-18.0145983",15/4/2011 16:33:21,0
6569,HULONGINE,6,6460,"116.8117560,-31.3647540,0","116.6836966,-31.2885032","116.9398154,-31.4409430",15/4/2011 16:33:21,0
6570,HUMBUG SCRUB,3,5114,"138.7908060,-34.7089830,0","138.7267763,-34.6722850","138.8548357,-34.7456648",15/4/2011 16:33:21,0
6571,HUME,7,2620,"149.1764450,-35.3817520,0","149.1444302,-35.3635555","149.2084598,-35.3999444",15/4/2011 16:33:21,0
6572,HUMEBURN,2,4490,"145.2035620,-27.3998850,0","144.1790869,-26.7640766","146.2280371,-28.0320571",15/4/2011 16:33:21,0
6573,HUMEVALE,5,3757,"145.1924850,-37.4849710,0","145.1284553,-37.4495466","145.2565147,-37.5203786",15/4/2011 16:33:21,0
6574,HUMPHERY,2,4625,"151.4805090,-25.5984990,0","151.4164793,-25.5582412","151.5445387,-25.6387433",15/4/2011 16:33:21,0
6575,HUMPTY DOO,8,0836,"131.1185740,-12.5548780,0","131.0545443,-12.5113096","131.1826037,-12.5984390",10/11/2011 13:06:53,0
6576,HUMULA,1,2652,"147.7641790,-35.4830540,0","147.6361196,-35.4103347","147.8922384,-35.5557076",15/4/2011 16:33:21,0
6577,HUNCHY,2,4555,"152.9036230,-26.6819890,0","152.8716082,-26.6620476","152.9356378,-26.7019269",15/4/2011 16:33:21,0
6578,HUNGERFORD,1,2840,"144.4097680,-29.0049270,0","142.3608178,-27.7483561","146.4587182,-30.2464032",15/4/2011 16:33:21,0
6579,HUNGERFORD,2,4493,"144.4065840,-28.9963390,0","142.3576338,-27.7396657","146.4555342,-30.2379203",15/4/2011 16:33:21,0
6580,HUNGERFORD,3,5222,"137.9737420,-35.7600230,0","137.9576800,-35.7551610","138.0075560,-35.7680330",15/4/2011 16:33:21,0
6581,HUNTER,5,3558,"144.5049550,-36.4425310,0","144.4409253,-36.4066184","144.5689847,-36.4784270",15/4/2011 16:33:21,0
6582,HUNTERS HILL,1,2110,"151.1561910,-33.8351160,0","151.1241762,-33.8165774","151.1882058,-33.8536506",15/4/2011 16:33:21,0
6583,HUNTERSTON,5,3971,"146.7800790,-38.5800320,0","146.7160493,-38.5451330","146.8441087,-38.6149140",15/4/2011 16:33:21,0
6584,HUNTERVIEW,1,2330,"151.1738990,-32.5443570,0","151.1578916,-32.5349506","151.1899064,-32.5537624",15/4/2011 16:33:21,0
6585,HUNTFIELD HEIGHTS,3,5163,"138.5128200,-35.1521980,0","138.4968126,-35.1430744","138.5288274,-35.1613205",15/4/2011 16:33:21,0
6586,HUNTINGDALE,5,3166,"145.1038410,-37.9093470,0","145.0878336,-37.9005430","145.1198484,-37.9181499",15/4/2011 16:33:21,0
6587,HUNTINGDALE,6,6110,"115.9671350,-32.0801760,0","115.9511276,-32.0707213","115.9831424,-32.0896297",15/4/2011 16:33:21,0
6588,HUNTINGDON,1,2446,"152.6603920,-31.4743500,0","152.6283772,-31.4553153","152.6924068,-31.4933808",15/4/2011 16:33:21,0
6589,HUNTINGFIELD,4,7055,"147.2899196,-42.9969874,0","147.2795072,-42.9867187","147.3003321,-43.0072560",15/4/2011 16:33:21,0
6590,HUNTINGWOOD,1,2148,"150.8798630,-33.7975370,0","150.8638556,-33.7882641","150.8958704,-33.8068089",15/4/2011 16:33:21,0
6591,HUNTLEY,1,2530,"150.7142240,-34.5074230,0","150.6501943,-34.4706358","150.7782537,-34.5441940",15/4/2011 16:33:21,0
6592,HUNTLEY,1,2800,"149.1318110,-33.3692430,0","149.0997962,-33.3506040","149.1638258,-33.3878780",15/4/2011 16:33:21,0
6593,HUNTLEYS COVE,1,2111,"151.1387850,-33.8397020,0","151.1227776,-33.8304337","151.1547924,-33.8489693",15/4/2011 16:33:21,0
6594,HUNTLEYS POINT,1,2111,"151.1459680,-33.8400880,0","151.1299606,-33.8308197","151.1619754,-33.8493553",15/4/2011 16:33:21,0
6595,HUNTLY,5,3551,"144.3319720,-36.6670750,0","144.2679423,-36.6312665","144.3960017,-36.7028668",15/4/2011 16:38:26,0
6596,HUNTLY NORTH,5,3551,"144.3082000,-36.6582000,0","144.1801406,-36.5865582","144.4362594,-36.7297752",15/4/2011 16:38:26,0
6597,HUON,5,3695,"147.0669790,-36.2206090,0","147.0029493,-36.1845940","147.1310087,-36.2566074",15/4/2011 16:38:26,0
6598,HUON CREEK,5,3691,"146.8384790,-36.1537450,0","146.8064642,-36.1357242","146.8704938,-36.1717617",15/4/2011 16:38:26,0
6599,HUONBROOK,1,2482,"153.3715520,-28.5509660,0","153.3395372,-28.5313620","153.4035668,-28.5705664",15/4/2011 16:38:26,0
6600,HUONVILLE,4,7109,"147.0484370,-43.0308490,0","146.9844073,-42.9982150","147.1124667,-43.0634657",15/4/2011 16:38:26,0
6601,HURLSTONE PARK,1,2193,"151.1322400,-33.9099640,0","151.1162326,-33.9007033","151.1482474,-33.9192237",15/4/2011 16:38:26,0
6602,HURRICANE,2,4871,"144.6580200,-16.5840520,0","144.1457824,-16.2415466","145.1702576,-16.9259487",15/4/2011 16:38:26,0
6603,HURSTBRIDGE,5,3099,"145.1924770,-37.6401660,0","145.1604622,-37.6224927","145.2244918,-37.6578351",15/4/2011 16:38:26,0
6604,HURSTVILLE,1,2220,"151.1011840,-33.9659230,0","151.0851766,-33.9566684","151.1171914,-33.9751766",15/4/2011 16:38:26,0
6605,HURSTVILLE GROVE,1,2220,"151.0911360,-33.9806530,0","151.0751286,-33.9714000","151.1071434,-33.9899050",15/4/2011 16:38:26,0
6606,HURSTVILLE WESTFIELD,1,2220,"151.1151855,-33.9257420,0","151.1120379,-33.9225944","151.1183331,-33.9288896",15/4/2011 16:38:26,0
6607,HUSKISSON,1,2540,"150.6709430,-35.0388500,0","150.6389282,-35.0205765","150.7029578,-35.0571195",15/4/2011 16:38:26,0
6608,HUTT STREET,3,5000,"138.6121850,-34.9302340,0","138.6089544,-34.9252000","138.6152496,-34.9351440",15/4/2011 16:38:26,0
6609,HUTTON CREEK,2,4454,"148.5187370,-25.6905420,0","148.2626182,-25.5295534","148.7748558,-25.8513133",15/4/2011 16:38:26,0
6610,HYAMS BEACH,1,2540,"150.6810040,-35.1017260,0","150.6649966,-35.0925968","150.6970114,-35.1108542",15/4/2011 16:38:26,0
6611,HYDE PARK,2,4812,"146.7964720,-19.2769980,0","146.7804646,-19.2664653","146.8124794,-19.2875301",15/4/2011 16:38:26,0
6612,HYDE PARK,3,5061,"138.6000480,-34.9545350,0","138.5840406,-34.9453893","138.6160554,-34.9636797",15/4/2011 16:38:26,0
6613,HYDE PARK CASTLETOWN,2,4812,"146.7889618,-19.2872350,0","146.7636754,-19.2664896","146.8142483,-19.3079805",15/4/2011 16:38:26,0
6614,HYDEN,6,6359,"118.8647350,-32.4494550,0","118.3524974,-32.1476453","119.3769726,-32.7502572",15/4/2011 16:38:26,0
6615,HYLAND PARK,1,2448,"152.9999090,-30.6155110,0","152.9839016,-30.6059079","153.0159164,-30.6251131",15/4/2011 16:38:26,0
6616,HYNAM,3,5262,"140.8606050,-36.9373110,0","140.7965753,-36.9016286","140.9246347,-36.9729767",15/4/2011 16:38:26,0
6617,HYNDMANS CREEK,1,2446,"152.5967320,-31.4684550,0","152.5647172,-31.4494191","152.6287468,-31.4874870",15/4/2011 16:38:26,0
6618,ICY CREEK,5,3833,"146.0966140,-37.8837970,0","146.0325843,-37.8485625","146.1606437,-37.9190147",15/4/2011 16:38:26,0
6619,IDA BAY,4,7109,"146.9040840,-43.4439790,0","146.8400543,-43.4115654","146.9681137,-43.4763752",15/4/2011 16:38:26,0
6620,IDALIA,2,4811,"146.8039250,-19.3072720,0","146.7879176,-19.2967412","146.8199324,-19.3178021",15/4/2011 16:38:26,0
6621,IDERAWAY,2,4625,"151.6143620,-25.5801430,0","151.5503323,-25.5398790","151.6783917,-25.6203935",15/4/2011 16:38:26,0
6622,IGUANA CREEK,5,3875,"147.3554710,-37.7610150,0","147.2274116,-37.6904118","147.4835304,-37.8315509",15/4/2011 16:38:26,0
6623,IKEWA,6,6522,"115.5388900,-29.1841700,0","115.2827712,-29.0281868","115.7950088,-29.3399164",15/4/2011 16:38:26,0
6624,ILARWILL,1,2463,"153.1728220,-29.4659300,0","153.1087923,-29.4270638","153.2368517,-29.5047813",15/4/2011 16:38:26,0
6625,ILBILBIE,2,4738,"149.3565830,-21.7043470,0","149.1004642,-21.5383806","149.6127018,-21.8701223",15/4/2011 16:38:26,0
6626,ILFORD,1,2850,"149.8596580,-32.9422090,0","149.7315986,-32.8672653","149.9877174,-33.0170893",15/4/2011 16:38:26,0
6627,ILFRACOMBE,2,4727,"144.5099670,-23.4900590,0","143.4854919,-22.8335115","145.5344421,-24.1433531",15/4/2011 16:38:26,0
6628,ILKLEY,2,4554,"153.0022410,-26.7173330,0","152.9702262,-26.6973978","153.0342558,-26.7372647",15/4/2011 16:38:26,0
6629,ILLABAROOK,5,3351,"143.6459210,-37.8266530,0","143.5818913,-37.7913911","143.7099507,-37.8618980",15/4/2011 16:38:26,0
6630,ILLABO,1,2590,"147.7406620,-34.8147980,0","147.6126026,-34.7414796","147.8687214,-34.8880512",15/4/2011 16:38:26,0
6631,ILLAROO,1,2540,"150.4792830,-34.8512090,0","150.4152533,-34.8145741","150.5433127,-34.8878276",15/4/2011 16:38:26,0
6632,ILLAWARRA,5,3381,"142.6885570,-37.0536680,0","142.6245273,-37.0180402","142.7525867,-37.0892791",15/4/2011 16:38:26,0
6633,ILLAWONG,1,2234,"151.0425910,-33.9980180,0","151.0265836,-33.9887669","151.0585984,-34.0072681",15/4/2011 16:38:26,0
6634,ILLINBAH,2,4275,"153.1420210,-28.1152540,0","153.0779913,-28.0758813","153.2060507,-28.1546122",15/4/2011 16:38:26,0
6635,ILLOWA,5,3282,"142.4115070,-38.3299100,0","142.3794922,-38.3124021","142.4435218,-38.3474137",15/4/2011 16:38:26,0
6636,ILPARPA,8,0870,"133.8128730,-23.7571200,0","133.7619170,-23.7438830","133.8697210,-23.7872430",10/11/2011 13:04:13,0
6637,ILUKA,1,2466,"153.3535086,-29.4008875,0","153.3446649,-29.3819837","153.3623524,-29.4197913",15/4/2011 16:38:26,0
6638,ILUKA,6,6028,"115.7302900,-31.7372760,0","115.7142826,-31.7277860","115.7462974,-31.7467650",15/4/2011 16:38:26,0
6639,IMAGE FLAT,2,4560,"152.9325330,-26.6009150,0","152.9005182,-26.5809595","152.9645478,-26.6208670",15/4/2011 16:38:26,0
6640,IMANPA,8,0872,"132.5737420,-25.1513970,0","132.5703290,-25.1310660","132.5794870,-25.1872960",10/11/2011 13:02:48,0
6641,IMBIL,2,4570,"152.6767220,-26.4601140,0","152.5486626,-26.3801732","152.8047814,-26.5399993",15/4/2011 16:38:26,0
6642,INALA,2,4077,"152.9744130,-27.5973010,0","152.9584056,-27.5874121","152.9904204,-27.6071890",15/4/2011 16:38:26,0
6643,INALA EAST,2,4077,"152.9806740,-27.6011350,0","152.9646666,-27.5912464","152.9966814,-27.6110227",15/4/2011 16:38:26,0
6644,INALA HEIGHTS,2,4077,"152.9731870,-27.5871450,0","152.9571796,-27.5772551","152.9891944,-27.5970340",15/4/2011 16:38:26,0
6645,INDEE,6,6721,"118.5984090,-20.7863630,0","118.0861714,-20.4521805","119.1106466,-21.1198072",15/4/2011 16:38:26,0
6646,INDENTED HEAD,5,3223,"144.7112390,-38.1391210,0","144.6792242,-38.1215671","144.7432538,-38.1566707",15/4/2011 16:38:26,0
